Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,target,pct_change,sma_3,sma_7,std_3,momentum,cross_sma,prev_up,amplitude,candle_alta,close_2_days_ago,rolling_std_7
2024-10-17,2677.39990234375,2691.699951171875,2677.199951171875,2691.0,30,0.0,0.0,1,0.006357516828721099,2675.4666341145835,2651.200020926339,14.854450748325185,17.0,1,1,14.5,1,2661.39990234375,29.551742614287637
2024-10-18,2713.699951171875,2719.60009765625,2713.699951171875,2713.699951171875,29,0.0,0.0,1,0.00843550768185608,2692.8999837239585,2666.5857282366073,19.918056741956043,22.699951171875,1,1,5.900146484375,0,2674.0,30.12748582314059
2024-10-21,2721.89990234375,2738.39990234375,2719.5,2723.10009765625,52,0.0,0.0,1,0.003463959410956896,2709.2666829427085,2681.228585379464,16.502862411684305,9.400146484375,1,1,18.89990234375,1,2691.0,28.937562918650087
2024-10-22,2731.699951171875,2746.0,2728.60009765625,2744.199951171875,93,0.0,0.0,0,0.007748467834063577,2727.0,2693.5999930245534,15.619520758271364,21.099853515625,1,1,17.39990234375,1,2713.699951171875,35.02385062081148
2024-10-23,2742.5,2742.5,2714.199951171875,2714.39990234375,18,0.0,0.0,1,-0.010859284803718228,2727.2333170572915,2703.1142578125,15.323947092785772,-29.800048828125,1,1,28.300048828125,0,2723.10009765625,29.044142759938346
2024-10-24,2729.0,2736.10009765625,2729.0,2734.89990234375,27,0.0,0.0,1,0.007552313858506743,2731.1665852864585,2713.6142578125,15.246769157016047,20.5,1,0,7.10009765625,1,2744.199951171875,24.357966246698087
2024-10-25,2725.5,2742.39990234375,2725.5,2740.89990234375,29,0.0,0.0,1,0.0021938645706405246,2730.0665690104165,2723.17138671875,13.895442898062468,6.0,1,1,16.89990234375,1,2714.39990234375,18.689163986061278
2024-10-28,2736.10009765625,2742.89990234375,2729.5,2742.89990234375,56,0.0,0.0,1,0.0007296873549778038,2739.5665690104165,2730.5856584821427,4.163331998930284,2.0,1,1,13.39990234375,1,2734.89990234375,13.323696483306477
2024-10-29,2768.39990234375,2768.39990234375,2768.39990234375,2768.39990234375,848,0.0,0.0,1,0.009296730069591863,2750.7332356770835,2738.3999372209823,15.332427509475313,25.5,1,1,0.0,0,2740.89990234375,17.23598266164276
2024-10-30,2774.60009765625,2789.0,2774.60009765625,2788.5,231,0.0,0.0,0,0.007260547018237196,2766.5999348958335,2747.7427804129466,22.85327413468434,20.10009765625,1,1,14.39990234375,1,2742.89990234375,23.970067296742474
